Problem,n,Start Point,Method,Derivative,h_FD,Iterations,Grad Norm,Time (s),Status,Gradient History
Broyden Tridiagonal (n=10),10,random_2,Truncated Newton,FD-Hessian,1e-08,,,,Failed: run_all_experiments.<locals>.<lambda>() takes 1 positional argument but 2 were given,
Broyden Tridiagonal (n=10),10,random_3,Modified Newton,Exact,,4.0,2.9516114713560886,0.00953837507404387,Success,"[88.59488290887401, 43.70339072228924, 10.249645195893697, 11.757241477199054, 2.9516114713560886]"
Broyden Tridiagonal (n=10),10,random_3,Truncated Newton,Exact,,,,,Failed: run_all_experiments.<locals>.<lambda>() takes 1 positional argument but 2 were given,
Broyden Tridiagonal (n=10),10,random_3,Modified Newton,FD-Hessian,0.0001,4.0,2.9516115540032546,0.04054445796646178,Success,"[88.59488290887401, 43.70339072225976, 10.249645195878308, 11.757241478838976, 2.9516115540032546]"
Broyden Tridiagonal (n=10),10,random_3,Truncated Newton,FD-Hessian,0.0001,,,,Failed: run_all_experiments.<locals>.<lambda>() takes 1 positional argument but 2 were given,
Broyden Tridiagonal (n=10),10,random_3,Modified Newton,FD-Hessian,1e-08,4.0,2.951611911036989,0.03463633288629353,Success,"[88.59488290887401, 43.703390290181325, 10.249645265448391, 11.757237958520323, 2.951611911036989]"
Broyden Tridiagonal (n=10),10,random_3,Truncated Newton,FD-Hessian,1e-08,,,,Failed: run_all_experiments.<locals>.<lambda>() takes 1 positional argument but 2 were given,
Broyden Tridiagonal (n=10),10,random_4,Modified Newton,Exact,,7.0,9.572835679995113e-05,0.005235124845057726,Success,"[185.67790411241563, 102.30068901233577, 25.635842580283192, 6.207602507609403, 1.2631807941573603, 0.20295917920526435, 0.015511760733844696, 9.572835679995113e-05]"
Broyden Tridiagonal (n=10),10,random_4,Truncated Newton,Exact,,,,,Failed: run_all_experiments.<locals>.<lambda>() takes 1 positional argument but 2 were given,
Broyden Tridiagonal (n=10),10,random_4,Modified Newton,FD-Hessian,0.0001,7.0,9.572870035254736e-05,0.03404583293013275,Success,"[185.67790411241563, 102.3006901765485, 25.635842911320246, 6.207602631037287, 1.2631808482455238, 0.20295920270331966, 0.015511767580810045, 9.572870035254736e-05]"
Broyden Tridiagonal (n=10),10,random_4,Truncated Newton,FD-Hessian,0.0001,,,,Failed: run_all_experiments.<locals>.<lambda>() takes 1 positional argument but 2 were given,
Broyden Tridiagonal (n=10),10,random_4,Modified Newton,FD-Hessian,1e-08,7.0,9.572812801144037e-05,0.04303083405829966,Success,"[185.67790411241563, 102.30069057526913, 25.635842545925055, 6.207602437041285, 1.2631808018205164, 0.20295918346277458, 0.015511760796539901, 9.572812801144037e-05]"
Broyden Tridiagonal (n=10),10,random_4,Truncated Newton,FD-Hessian,1e-08,,,,Failed: run_all_experiments.<locals>.<lambda>() takes 1 positional argument but 2 were given,
Broyden Tridiagonal (n=10),10,random_5,Modified Newton,Exact,,8.0,3.0538021177827946e-07,0.007332042092457414,Success,"[131.07537314641468, 71.93018784825512, 21.894989898950296, 20.492332440807882, 5.332458317952038, 0.9095943043895256, 0.07702237633760103, 0.0011548789031444974, 3.0538021177827946e-07]"
Broyden Tridiagonal (n=10),10,random_5,Truncated Newton,Exact,,,,,Failed: run_all_experiments.<locals>.<lambda>() takes 1 positional argument but 2 were given,
Broyden Tridiagonal (n=10),10,random_5,Modified Newton,FD-Hessian,0.0001,8.0,3.0541059676387646e-07,0.05240474990569055,Success,"[131.07537314641468, 71.93018662107578, 21.89498941967967, 20.492323591484464, 5.332546621483504, 0.909611965842631, 0.07702392661553392, 0.0011549127640431277, 3.0541059676387646e-07]"
Broyden Tridiagonal (n=10),10,random_5,Truncated Newton,FD-Hessian,0.0001,,,,Failed: run_all_experiments.<locals>.<lambda>() takes 1 positional argument but 2 were given,
Broyden Tridiagonal (n=10),10,random_5,Modified Newton,FD-Hessian,1e-08,8.0,3.053564960417422e-07,0.04726845817640424,Success,"[131.07537314641468, 71.9301808128326, 21.894987264771242, 20.492330659002167, 5.332352090921552, 0.9095727703060372, 0.07702039540479097, 0.001154834523903177, 3.053564960417422e-07]"
Broyden Tridiagonal (n=10),10,random_5,Truncated Newton,FD-Hessian,1e-08,,,,Failed: run_all_experiments.<locals>.<lambda>() takes 1 positional argument but 2 were given,
